Rank,Node ID,Degree
1,50,33607
2,2,32004
3,8,19726
4,10,17413
5,1625,13149
6,43,12134
7,23,10126
8,4,9680
9,5,9672
10,1627,9208
11,38,8163
12,44,7981
13,99,7584
14,20,7562
15,133,7523
16,70,7251
17,67,6882
18,83,6152
19,217,5665
20,12,5453
21,22,5086
22,574,4765
23,75,4535
24,26,4509
25,56,4264
26,48,3999
27,2151,3418
28,263,3199
29,92,3056
30,4570,3023
31,112,2960
32,272,2899
33,128,2893
34,150,2876
35,153,2832
36,7,2750
37,152,2669
38,13,2600
39,712,2588
40,1642,2477
41,179,2431
42,317,2390
43,96,2387
44,11,2285
45,88,2235
46,1669,2217
47,834,2210
48,148,2148
49,30,2141
50,466,2136
51,52,2012
52,19,1995
53,261,1906
54,3126,1684
55,155,1683
56,76,1578
57,31,1517
58,248,1486
59,1039,1439
60,348,1436
61,53,1428
62,784,1375
63,213,1366
64,40,1352
65,3149,1329
66,17,1288
67,27,1234
68,64,1210
69,11322,1163
70,124,1158
71,538,1128
72,79115,1096
73,150119,1095
74,14,1069
75,131,1060
76,1,1051
77,81,1007
78,79104,1001
79,103,994
80,126,990
81,382,987
82,18375,980
83,146,968
84,3516,964
85,367,961
86,2194,960
87,6,947
88,14593,937
89,221,931
90,49,929
91,306,927
92,635,924
93,10463,923
94,6604,916
95,674,910
96,347,908
97,95,906
98,232,897
99,113,895
100,136,868
101,438,864
102,79108,859
103,34,850
104,80,849
105,15,842
106,39,825
107,28078,822
108,85,821
109,62,820
110,143,817
111,3228,817
112,289,815
113,140,796
114,2215,791
115,116,785
116,9,783
117,86,781
118,157,775
119,233,767
120,45,763
121,266,763
122,177,759
123,717,759
124,1152,748
125,109657,743
126,525,740
127,79152,739
128,135,735
129,3,730
130,228,723
131,145,722
132,18,722
133,26326,720
134,210,720
135,154,716
136,768,713
137,101,712
138,161,710
139,7894,709
140,97,708
141,46,707
142,185,707
143,16012,706
144,72,704
145,491,698
146,98,695
147,42,693
148,58,687
149,74,682
150,204,681
151,36,673
152,761,672
153,37,671
154,41,670
155,78,667
156,107,663
157,207,661
158,641,654
159,25,653
160,480,649
161,809,647
162,254,643
163,163,642
164,287,642
165,90,638
166,63,637
167,29,636
168,415,635
169,77,631
170,245,629
171,359,627
172,375,627
173,407,623
174,169,623
175,170,622
176,202,616
177,319,616
178,158,616
179,596,616
180,65,614
181,504,612
182,4441,611
183,326,611
184,439,609
185,468,607
186,771,605
187,167,601
188,337,601
189,445,597
190,181,596
191,66,593
192,2752,592
193,244,592
194,55,592
195,13791,592
196,183,590
197,345,589
198,16,588
199,160,587
200,257,586
201,121,586
202,138,586
203,21,586
204,315,585
205,218,585
206,187,583
207,419,582
208,934,580
209,376,580
210,32,579
211,241,579
212,222,578
213,381,578
214,117,577
215,413,576
216,209,576
217,374,576
218,262,576
219,293,574
220,356,573
221,115,572
222,276,572
223,123,568
224,418,566
225,243,565
226,166,564
227,371,564
228,927,563
229,91,562
230,129,562
231,2636,560
232,150130,560
233,68,559
234,429,558
235,321,558
236,260,555
237,380,555
238,234,554
239,430,553
240,299,552
241,360,551
242,171,550
243,340,549
244,191,549
245,426,547
246,151,546
247,1529,545
248,119,543
249,308,542
250,332,541
251,208,541
252,223,541
253,383,538
254,283,537
255,182,537
256,259,536
257,331,535
258,142,534
259,519,532
260,9367,530
261,1777,529
262,87,527
263,358,527
264,459,524
265,109766,524
266,269,524
267,1486,522
268,267,521
269,305,511
270,7742,509
271,285,508
272,229,504
273,2133,503
274,341,500
275,500,497
276,197,496
277,189,493
278,541,492
279,93,492
280,195,492
281,428,490
282,4806,490
283,484,487
284,403,487
285,184,487
286,339,487
287,301,485
288,377,485
289,353,483
290,144,482
291,404,480
292,463,480
293,130,478
294,180,478
295,60,476
296,436,475
297,425,475
298,51,471
299,796,471
300,174,468
301,220,467
302,274,467
303,11668,466
304,384,465
305,141,465
306,393,463
307,215,462
308,106,462
309,251,461
310,6182,460
311,412,459
312,584,459
313,73,455
314,212,454
315,532,453
316,1793,451
317,320,451
318,411,451
319,344,448
320,390,447
321,54,446
322,206,443
323,627,443
324,386,441
325,449,439
326,57,439
327,593,439
328,280,438
329,1227,436
330,291,435
331,334,435
332,270,434
333,615,433
334,311,431
335,137,428
336,2241,427
337,172,426
338,253,421
339,102,419
340,5426,417
341,219,417
342,2348,415
343,669,414
344,188,413
345,580,412
346,186,411
347,114,408
348,24,408
349,79233,406
350,20253,406
351,414,403
352,230,401
353,231,400
354,35,398
355,89,396
356,933,395
357,79585,394
358,2774,392
359,110309,391
360,79079,389
361,2263,388
362,73904,387
363,227,387
364,108,384
365,1101,384
366,443,383
367,258,383
368,651,381
369,1069,380
370,915,379
371,1271,377
372,173,377
373,193,376
374,164,375
375,33,374
376,176,371
377,3761,370
378,1021,370
379,149,370
380,362,369
381,79820,369
382,250,368
383,351,367
384,16990,367
385,471,367
386,612,365
387,2558,361
388,1052,358
389,2355,357
390,47,356
391,446,354
392,200,352
393,59,350
394,469,350
395,2086,349
396,122,348
397,2504,347
398,127,347
399,6337,346
400,242,346
401,100,345
402,61,342
403,310,342
404,175,341
405,286,339
406,246,337
407,2221,335
408,1269,334
409,431,334
410,649,333
411,120,331
412,1112,331
413,192,328
414,69,327
415,6349,327
416,3116,326
417,314,325
418,134,324
419,239,324
420,3029,323
421,82,323
422,139,322
423,7474,321
424,147,319
425,203,318
426,11593,318
427,557,318
428,20478,316
429,1700,316
430,4999,316
431,211,314
432,79085,314
433,281,313
434,579,313
435,19723,312
436,395,312
437,399,311
438,355,309
439,391,309
440,94,308
441,489,308
442,508,308
443,226,307
444,1036,307
445,464,307
446,79417,306
447,109,305
448,235,304
449,401,304
450,6036,303
451,550,303
452,295,302
453,156,302
454,342,301
455,481,301
456,1078,300
457,196,300
458,11127,297
459,465,297
460,507,296
461,4581,296
462,5593,296
463,346,295
464,1065,295
465,279,295
466,442,294
467,278,294
468,132,294
469,460,294
470,265,293
471,54973,292
472,322,292
473,434,292
474,240,292
475,178,291
476,328,291
477,104,291
478,461,291
479,318,291
480,773,290
481,309,290
482,268,290
483,216,288
484,423,288
485,720,288
486,453,287
487,168,287
488,3158,286
489,416,286
490,57733,286
491,1512,286
492,516,286
493,50462,286
494,400,286
495,931,286
496,48834,286
497,462,286
498,352,285
499,71,285
500,389,284
501,1074,284
502,448,284
503,1709,284
504,2078,284
505,198,284
506,312,283
507,455,283
508,1070,283
509,25553,283
510,527,283
511,776,282
512,5056,282
513,48863,282
514,528,282
515,2073,281
516,361,281
517,255,281
518,396,281
519,2667,281
520,26560,281
521,90811,281
522,290,280
523,277,279
524,521,278
525,457,278
526,323,277
527,162,277
528,338,277
529,372,276
530,588,276
531,1067,276
532,609,276
533,364,276
534,238,275
535,296,275
536,194,274
537,273,274
538,118,274
539,363,274
540,4022,273
541,501,273
542,406,273
543,111,272
544,373,272
545,10185,272
546,6768,271
547,307,271
548,1075,270
549,6507,269
550,485,268
551,11169,268
552,1071,268
553,2288,268
554,368,268
555,497,268
556,333,268
557,316,267
558,694,267
559,1220,266
560,1107,266
561,470,266
562,1145,266
563,488,265
564,249,265
565,444,265
566,409,265
567,421,265
568,28,265
569,394,265
570,205,264
571,125,264
572,335,264
573,1068,264
574,378,264
575,398,263
576,2112,262
577,417,262
578,79190,262
579,264,262
580,408,262
581,48826,261
582,437,261
583,983,261
584,472,260
585,159,260
586,441,259
587,336,259
588,433,257
589,510,257
590,530,256
591,379,256
592,671,256
593,518,256
594,435,256
595,458,256
596,79178,255
597,3334,255
598,503,255
599,275,255
600,330,255
601,499,255
602,237,255
603,520,255
604,365,254
605,388,254
606,2755,254
607,366,254
608,214,253
609,4902,253
610,405,252
611,4603,252
612,349,252
613,385,251
614,199,251
615,256,251
616,387,251
617,452,251
618,284,251
619,816,250
620,370,250
621,329,250
622,1886,250
623,9404,248
624,224,248
625,298,247
626,424,247
627,549,247
628,1356,246
629,1072,246
630,288,246
631,422,246
632,2957,246
633,1033,245
634,1328,245
635,2178,245
636,79113,245
637,201,244
638,327,243
639,492,243
640,282,243
641,302,243
642,247,243
643,15795,242
644,165,240
645,512,240
646,350,239
647,420,237
648,4233,237
649,304,236
650,8950,236
651,478,236
652,427,236
653,502,236
654,79340,235
655,483,235
656,622,235
657,369,233
658,79431,233
659,1237,233
660,225,233
661,747,232
662,474,231
663,303,231
664,1077,230
665,1073,230
666,505,230
667,292,230
668,300,229
669,313,228
670,1339,228
671,509,228
672,357,228
673,30161,228
674,3172,227
675,6295,227
676,1084,227
677,4500,226
678,1612,226
679,1286,225
680,1064,225
681,687,224
682,252,224
683,4573,224
684,5921,221
685,1842,221
686,907,219
687,610,219
688,661,217
689,432,215
690,738,215
691,1959,215
692,2006,211
693,599,211
694,946,211
695,14509,210
696,10240,209
697,325,208
698,782,208
699,1442,208
700,110,207
701,3133,206
702,2906,204
703,1278,203
704,2283,202
705,1081,201
706,498,200
707,1043,200
708,1697,199
709,3975,199
710,3702,199
711,1233,198
712,294,196
713,12359,195
714,354,195
715,1346,193
716,2277,192
717,1488,190
718,397,190
719,15563,190
720,665,190
721,21394,190
722,4251,189
723,440,188
724,1932,187
725,3324,187
726,3846,186
727,14066,186
728,1876,186
729,493,186
730,1589,184
731,526,182
732,1899,182
733,646,182
734,23414,182
735,18890,179
736,511,176
737,961,175
738,4401,175
739,514,175
740,2663,175
741,529,174
742,1556,174
743,1725,173
744,3855,171
745,1949,171
746,10481,171
747,5176,170
748,513,170
749,553,169
750,79271,169
751,701,169
752,2336,168
753,536,168
754,324,168
755,2281,167
756,1501,167
757,22669,167
758,801,166
759,7032,166
760,6234,166
761,1166,166
762,2940,165
763,297,164
764,2913,163
765,736,163
766,2364,163
767,5157,163
768,1711,162
769,410,162
770,1507,162
771,2173,161
772,494,161
773,109809,161
774,2199,160
775,12026,160
776,1850,158
777,79204,157
778,450,157
779,4847,155
780,7418,155
781,1481,154
782,3913,153
783,476,153
784,4728,153
785,4557,153
786,79311,152
787,886,151
788,1869,151
789,79318,151
790,79471,149
791,79292,149
792,6672,149
793,6255,148
794,2602,148
795,9660,147
796,8525,147
797,10911,146
798,79269,144
799,1923,144
800,48670,143
801,5661,142
802,31675,142
803,6226,141
804,3402,140
805,91428,139
806,1755,139
807,1533,139
808,811,138
809,136656,138
810,2789,138
811,2697,137
812,3331,137
813,6877,137
814,8306,137
815,1796,136
816,11025,136
817,3817,136
818,15545,136
819,1499,135
820,1518,135
821,84,135
822,882,134
823,875,133
824,67299,133
825,3483,131
826,5707,131
827,8097,130
828,4210,130
829,3596,130
830,6394,130
831,567,130
832,967,129
833,1275,129
834,1768,129
835,972,129
836,1326,128
837,21493,128
838,1553,128
839,5761,127
840,540,127
841,90425,127
842,9481,127
843,13863,126
844,6283,125
845,4004,125
846,2732,125
847,74011,124
848,456,123
849,1057,123
850,6737,123
851,1184,123
852,4451,123
853,531,123
854,4216,123
855,9753,122
856,3131,122
857,4054,121
858,1570,120
859,6679,120
860,631,120
861,1359,119
862,19663,119
863,18065,118
864,706,118
865,4692,117
866,1896,117
867,839,117
868,6651,116
869,2595,116
870,3362,116
871,14836,116
872,711,115
873,4429,115
874,5337,114
875,5764,114
876,7214,114
877,79402,114
878,6333,114
879,6515,114
880,10107,113
881,454,113
882,3288,113
883,1170,113
884,4147,113
885,1200,112
886,858,112
887,6375,111
888,12696,111
889,1655,111
890,11556,110
891,780,110
892,14090,110
893,18573,110
894,2127,110
895,8601,110
896,971,109
897,1272,109
898,4499,108
899,3279,108
900,1331,108
901,12745,108
902,10872,108
903,15608,107
904,547,107
905,1193,106
906,2465,106
907,6402,106
908,9178,106
909,11369,105
910,11074,105
911,25711,105
912,6627,105
913,928,105
914,24955,104
915,639,104
916,517,103
917,4113,103
918,9654,102
919,3481,102
920,3080,102
921,91165,102
922,2873,102
923,9129,102
924,4984,102
925,79147,102
926,3092,101
927,1694,101
928,71712,101
929,3015,101
930,5204,100
931,9026,100
932,13609,100
933,5372,100
934,697,99
935,136565,99
936,656,99
937,6057,99
938,79849,99
939,13123,98
940,3902,98
941,10398,98
942,1388,98
943,2201,98
944,11920,98
945,3737,97
946,848,97
947,1685,97
948,867,97
949,9674,97
950,5154,97
951,19595,97
952,9086,97
953,5197,97
954,2524,97
955,2840,96
956,5582,96
957,9006,96
958,10627,96
959,808,96
960,5411,95
961,3828,95
962,686,95
963,4883,95
964,2128,95
965,447,94
966,22457,94
967,3502,94
968,2174,94
969,561,94
970,48837,94
971,14732,94
972,606,94
973,20194,94
974,16670,94
975,1834,93
976,7148,93
977,2511,93
978,2888,93
979,909,92
980,644,92
981,105,91
982,4019,91
983,2260,91
984,12546,91
985,79224,91
986,4837,91
987,79119,90
988,2321,90
989,1604,90
990,1628,90
991,23627,90
992,81256,90
993,2893,89
994,19861,89
995,3286,89
996,5512,89
997,5271,89
998,12823,89
999,7516,89
1000,13023,88
1001,855,88
1002,1539,88
1003,6450,88
1004,4731,88
1005,236,88
1006,10162,88
1007,710,87
1008,1386,87
1009,11434,87
1010,79,87
1011,25234,87
1012,578,87
1013,39386,86
1014,4040,86
1015,3412,86
1016,79811,86
1017,713,86
1018,939,85
1019,6473,85
1020,577,85
1021,9276,85
1022,9249,85
1023,7818,85
1024,539,84
1025,3153,84
1026,2566,84
1027,6184,84
1028,15064,84
1029,343,84
1030,79369,84
1031,1563,84
1032,6174,84
1033,759,83
1034,1292,83
1035,2456,83
1036,950,83
1037,2097,83
1038,19028,83
1039,5087,82
1040,904,82
1041,700,82
1042,7146,82
1043,79765,82
1044,44312,82
1045,9113,82
1046,2417,82
1047,6323,81
1048,3180,81
1049,9866,81
1050,1280,81
1051,6541,81
1052,693,81
1053,90877,80
1054,772,80
1055,25846,80
1056,844,80
1057,23294,80
1058,570,80
1059,12935,80
1060,9765,80
1061,136883,80
1062,4630,80
1063,5900,80
1064,2093,79
1065,11526,79
1066,5198,79
1067,6474,79
1068,7670,79
1069,727,79
1070,6920,79
1071,6089,79
1072,5712,79
1073,654,79
1074,10280,79
1075,3945,79
1076,2105,79
1077,16287,78
1078,6060,78
1079,806,78
1080,9985,78
1081,932,78
1082,2824,78
1083,18879,78
1084,79158,78
1085,80310,78
1086,1410,77
1087,4115,77
1088,31666,77
1089,5640,77
1090,3835,77
1091,43925,77
1092,467,77
1093,5365,77
1094,1176,76
1095,49326,76
1096,5894,76
1097,5169,76
1098,5396,76
1099,2010,76
1100,402,76
1101,1588,76
1102,746,76
1103,769,76
1104,9399,76
1105,7487,75
1106,13013,75
1107,1765,75
1108,22203,75
1109,874,75
1110,636,75
1111,7427,75
1112,15157,75
1113,522,75
1114,15448,75
1115,10048,74
1116,566,74
1117,845,74
1118,690,74
1119,495,74
1120,846,74
1121,797,74
1122,22508,74
1123,4066,74
1124,608,74
1125,79111,74
1126,79409,74
1127,3243,74
1128,2132,73
1129,1480,73
1130,482,73
1131,750,73
1132,95699,73
1133,24700,73
1134,585,73
1135,2004,73
1136,680,73
1137,1703,73
1138,1019,73
1139,1664,73
1140,1800,72
1141,1497,72
1142,2875,72
1143,17112,72
1144,20640,72
1145,18323,72
1146,1391,72
1147,1038,72
1148,486,72
1149,3638,71
1150,16656,71
1151,2925,71
1152,99453,71
1153,621,71
1154,2850,71
1155,11726,71
1156,79419,71
1157,79457,71
1158,709,71
1159,733,71
1160,49629,71
1161,1322,70
1162,650,70
1163,2272,70
1164,29149,70
1165,9464,70
1166,1698,70
1167,18841,70
1168,136583,70
1169,13097,70
1170,4501,70
1171,14400,70
1172,2682,70
1173,23246,70
1174,21464,69
1175,3464,69
1176,4513,69
1177,10838,69
1178,7201,69
1179,1845,69
1180,16587,69
1181,542,69
