Node_ID,In_Degree,Out_Degree,Total_Degree
23782,56,0,56
443,56,0,56
20955,54,0,54
896,54,0,54
195,54,0,54
1870,54,0,54
664,52,0,52
1603,52,0,52
310,52,0,52
2631,52,0,52
2357,52,0,52
3794,52,0,52
2470,52,0,52
1803,52,0,52
4800,52,0,52
708,52,0,52
295,52,0,52
652,52,0,52
1328,52,0,52
2617,52,0,52
3301,52,0,52
32,52,0,52
222,52,0,52
1693,52,0,52
4067,52,0,52
199,52,0,52
563,52,0,52
10272,52,0,52
23936,52,0,52
2412,52,0,52
174,52,0,52
211,52,0,52
1143,52,0,52
2383,52,0,52
189,52,0,52
1149,52,0,52
2220,52,0,52
2605,52,0,52
1733,52,0,52
4279,52,0,52
3268,52,0,52
1015,52,0,52
4845,52,0,52
923,52,0,52
530,52,0,52
2502,52,0,52
2874,52,0,52
2108,52,0,52
479,52,0,52
547,52,0,52
81,52,0,52
1438,52,0,52
1546,52,0,52
1308,52,0,52
618,52,0,52
2193,52,0,52
105,52,0,52
986,52,0,52
2827,52,0,52
11462,52,0,52
20149,52,0,52
791,52,0,52
2662,52,0,52
2266,51,0,51
107,51,0,51
7874,50,0,50
7926,50,0,50
132,50,0,50
621,50,0,50
7832,50,0,50
7868,50,0,50
7799,50,0,50
1338,50,0,50
1861,50,0,50
7779,50,0,50
7791,50,0,50
275,50,0,50
1326,50,0,50
1058,50,0,50
2714,50,0,50
1709,50,0,50
9922,50,0,50
1428,50,0,50
553,50,0,50
144,50,0,50
3970,50,0,50
432,50,0,50
1770,50,0,50
7813,50,0,50
7966,50,0,50
4147,50,0,50
7831,50,0,50
1404,50,0,50
1570,50,0,50
7776,50,0,50
10920,50,0,50
213,50,0,50
7778,50,0,50
7759,50,0,50
7795,50,0,50
1425,50,0,50
819,50,0,50
387,50,0,50
1961,50,0,50
7886,50,0,50
1857,50,0,50
7894,50,0,50
1669,50,0,50
1402,50,0,50
8015,50,0,50
2156,50,0,50
2055,50,0,50
2378,50,0,50
219,50,0,50
7841,50,0,50
674,50,0,50
7818,50,0,50
692,50,0,50
623,50,0,50
7793,50,0,50
8,50,0,50
2396,50,0,50
7762,50,0,50
7771,50,0,50
7856,50,0,50
7801,50,0,50
2681,50,0,50
2367,50,0,50
1238,50,0,50
3091,50,0,50
2386,50,0,50
3199,50,0,50
1127,50,0,50
7990,50,0,50
24,50,0,50
7809,50,0,50
7774,50,0,50
1138,50,0,50
10435,50,0,50
1568,49,0,49
3781,49,0,49
1475,49,0,49
28236,49,0,49
1064,48,0,48
752,48,0,48
2653,48,0,48
18694,1,47,48
2301,47,0,47
7312,46,0,46
7215,46,0,46
1216,46,0,46
399,46,0,46
2355,46,0,46
709,46,0,46
3270,46,0,46
1860,46,0,46
1289,46,0,46
2551,46,0,46
2750,46,0,46
3596,46,0,46
4227,46,0,46
262,46,0,46
1487,46,0,46
2391,46,0,46
1269,46,0,46
283,46,0,46
1532,46,0,46
755,46,0,46
588,46,0,46
679,46,0,46
1781,46,0,46
1655,46,0,46
1001,46,0,46
7207,46,0,46
2598,46,0,46
2146,46,0,46
1978,46,0,46
2512,46,0,46
3126,46,0,46
7354,46,0,46
1083,46,0,46
491,46,0,46
4314,46,0,46
2980,46,0,46
1209,46,0,46
1707,46,0,46
2258,46,0,46
2943,46,0,46
2443,46,0,46
4588,46,0,46
534,46,0,46
2795,46,0,46
2356,46,0,46
575,46,0,46
3068,46,0,46
258,46,0,46
706,46,0,46
28,46,0,46
1287,46,0,46
2455,46,0,46
1082,46,0,46
852,46,0,46
1645,46,0,46
556,46,0,46
2677,46,0,46
537,46,0,46
1162,46,0,46
1981,46,0,46
667,46,0,46
625,46,0,46
1087,46,0,46
813,46,0,46
290,46,0,46
1301,46,0,46
3717,46,0,46
673,46,0,46
1174,46,0,46
565,46,0,46
805,46,0,46
2611,46,0,46
2094,46,0,46
2185,46,0,46
4131,46,0,46
1901,46,0,46
2337,46,0,46
7271,46,0,46
366,46,0,46
60,46,0,46
14,46,0,46
2076,46,0,46
260,46,0,46
7211,46,0,46
809,46,0,46
1103,46,0,46
1671,46,0,46
24054,3,43,46
3906,46,0,46
1241,46,0,46
2679,46,0,46
1730,46,0,46
7341,46,0,46
1259,46,0,46
10,46,0,46
2328,46,0,46
3043,46,0,46
2500,46,0,46
1581,46,0,46
1873,46,0,46
2588,46,0,46
569,46,0,46
2471,46,0,46
287,45,0,45
1368,45,0,45
3194,45,0,45
22304,5,40,45
451,45,0,45
9883,44,0,44
9914,44,0,44
19944,3,41,44
9728,44,0,44
9700,44,0,44
9743,44,0,44
2812,44,0,44
9964,44,0,44
9880,44,0,44
23931,5,39,44
10940,44,0,44
10930,44,0,44
10356,44,0,44
9869,44,0,44
10020,44,0,44
9816,44,0,44
10559,44,0,44
9679,44,0,44
9786,44,0,44
10364,44,0,44
187,44,0,44
23950,3,40,43
19820,43,0,43
23415,3,40,43
207,43,0,43
20058,43,0,43
23468,3,40,43
1346,43,0,43
20336,3,40,43
20715,0,43,43
1691,43,0,43
2437,43,0,43
20078,3,40,43
22660,4,39,43
1560,42,0,42
22551,3,39,42
915,42,0,42
1519,42,0,42
1800,42,0,42
795,42,0,42
1847,42,0,42
3620,42,0,42
3622,42,0,42
20454,42,0,42
2796,42,0,42
19962,3,39,42
167,42,0,42
2474,42,0,42
1811,42,0,42
3081,42,0,42
20027,3,39,42
1485,42,0,42
345,42,0,42
373,42,0,42
2429,41,0,41
1531,41,0,41
1437,41,0,41
1657,0,41,41
608,41,0,41
2341,41,0,41
1434,0,41,41
7209,40,0,40
7216,40,0,40
7319,40,0,40
7251,40,0,40
51,40,0,40
