Rank,Node ID,Degree
1,2,33131
2,10,17965
3,8,13542
4,1625,13421
5,23,9923
6,5,9734
7,43,9724
8,4,9648
9,1627,9425
10,38,8546
11,44,8116
12,20,7849
13,133,7835
14,99,7782
15,70,7416
16,67,7322
17,83,6247
18,217,5874
19,12,5775
20,574,5208
21,22,5206
22,75,4838
23,56,4733
24,26,4536
25,48,4098
26,2151,3366
27,263,3302
28,4570,3261
29,92,3057
30,112,2978
31,128,2940
32,150,2935
33,153,2908
34,272,2891
35,13,2772
36,712,2749
37,1642,2706
38,152,2567
39,7894,2495
40,96,2425
41,7,2419
42,317,2412
43,148,2412
44,179,2333
45,834,2299
46,11,2258
47,88,2224
48,30,2150
49,1669,2133
50,466,2040
51,52,2030
52,19,2000
53,155,1954
54,261,1816
55,76,1594
56,213,1585
57,348,1578
58,31,1558
59,1,1499
60,17,1483
61,53,1481
62,50,1470
63,248,1468
64,1039,1441
65,784,1427
66,40,1416
67,64,1235
68,77,1135
69,538,1124
70,438,1113
71,27,1099
72,124,1097
73,153900,1096
74,153907,1096
75,153896,1095
76,153898,1095
77,136535,1095
78,79115,1095
79,131,1076
80,177,1070
81,14,1047
82,347,1045
83,146,992
84,6,990
85,81,986
86,18375,979
87,436,974
88,63,973
89,39,965
90,103,954
91,49,950
92,221,946
93,113,941
94,126,935
95,34,927
96,10463,922
97,79108,918
98,1777,918
99,232,917
100,97,912
101,136,902
102,367,897
103,674,894
104,80,888
105,306,884
106,95,882
107,7474,862
108,45,845
109,809,845
110,15,844
111,635,841
112,140,839
113,85,838
114,382,838
115,228,833
116,266,830
117,157,828
118,289,820
119,3228,814
120,761,808
121,143,796
122,86,795
123,42,793
124,62,783
125,9,778
126,386,773
127,98,770
128,717,763
129,19723,762
130,4999,760
131,145,758
132,18,747
133,3,740
134,2215,738
135,1152,734
136,36,723
137,16012,719
138,116,717
139,46,716
140,154,716
141,26326,712
142,72,709
143,210,707
144,101,707
145,491,704
146,185,703
147,74,693
148,9367,689
149,596,684
150,37,683
151,58,683
