Rank,Node ID,Degree
1,2,34481
2,10,24214
3,8,19346
4,22,14209
5,4,13227
6,43,11625
7,38,11260
8,23,10505
9,20,9836
10,5,9680
11,99,9601
12,44,9389
13,133,9224
14,70,8864
15,67,8774
16,12,7450
17,83,7294
18,56,7253
19,217,6959
20,75,6146
21,48,5599
22,26,5318
23,150,4750
24,155,4152
25,13,4054
26,24,4011
27,213,3778
28,263,3386
29,112,3358
30,19,3096
31,53,3084
32,712,3069
33,11,3013
34,92,2973
35,52,2962
36,272,2914
37,7,2846
38,168,2760
39,14,2756
40,459,2588
41,96,2585
42,31,2584
43,17,2484
44,784,2447
45,152,2433
46,20477,2376
47,15,2368
48,30,2331
49,148,2300
50,834,2208
51,88,2204
52,42,2193
53,77,2183
54,48771,1977
55,261,1869
56,27,1800
57,26560,1666
58,8676,1571
59,81,1530
60,10117,1420
61,40,1389
62,64,1366
63,674,1322
64,3666,1296
65,491,1295
66,202,1252
67,1952,1241
68,138,1233
69,348,1216
70,33,1192
71,177,1186
72,103,1179
73,367,1166
74,306,1161
75,60,1158
76,512,1157
77,1272,1141
78,413,1133
79,55,1130
80,352,1127
81,541,1121
82,436,1108
83,98,1104
84,48802,1097
85,48786,1096
86,73920,1096
87,904,1093
88,4261,1089
89,39,1065
90,93,1061
91,687,1047
92,134,1045
93,143,1045
94,95,1033
95,113,1033
96,144,1024
97,635,1019
98,62,1011
99,73956,992
100,225,989
101,45,986
102,80,983
103,223,974
104,107,972
105,500,972
106,136,967
107,34,957
108,228,955
109,2474,936
110,47,925
111,212,924
112,620,922
113,2583,907
114,8864,906
115,1793,902
116,1589,896
117,36,895
118,1101,885
119,9,885
120,186,884
121,86,884
122,289,875
123,123,874
124,76,868
125,1,866
126,2774,864
127,35,863
128,761,856
129,97,854
130,371,851
131,8750,851
132,6,847
133,355,842
134,18,841
135,1725,840
136,801,829
137,266,828
138,2173,826
139,3,825
140,1152,824
141,85,822
142,189,816
143,246,816
144,463,813
145,25,810
146,164,803
147,170,802
148,90,798
149,58,793
150,1677,793
151,207,791
152,124,790
153,4065,789
154,105,788
155,1904,779
156,269,778
157,334,772
158,126,769
159,2297,769
160,131,768
161,23722,768
162,116,767
163,1403,761
164,1716,755
165,41,752
166,4929,751
167,115,746
168,135,746
169,72,745
170,332,744
171,101,740
172,3846,739
173,2295,736
174,2183,736
