Rank,Node ID,Degree
1,2,29305
2,10,16364
3,8,13352
4,1625,11830
5,5,10717
6,23,9508
7,4,8560
8,43,8496
9,1627,8230
10,38,7570
11,44,7346
12,99,6989
13,133,6952
14,20,6834
15,70,6677
16,67,5954
17,83,5741
18,217,5432
19,50,5370
20,12,4562
21,22,4172
22,26,4060
23,75,4001
24,48,3619
25,56,3576
26,13,3380
27,2151,3365
28,263,3287
29,92,3085
30,128,3029
31,272,2896
32,19,2679
33,112,2633
34,459,2604
35,150,2556
36,24,2535
37,152,2472
38,153,2426
39,7,2370
40,317,2315
41,179,2315
42,4570,2292
43,712,2276
44,96,2232
45,88,2224
46,155,2178
47,834,2131
48,1669,2104
49,7894,2032
50,466,2020
51,11,2006
52,30,1919
53,213,1868
54,58256,1812
55,14,1794
56,9753,1722
57,261,1680
58,52,1591
59,248,1469
60,31,1455
61,1039,1435
62,1642,1403
63,76,1332
64,242,1330
65,27,1296
66,40,1258
67,53,1212
68,784,1211
69,77,1189
70,17,1186
71,8750,1157
72,547,1132
73,538,1123
74,119934,1096
75,232,1078
76,143,1067
77,348,1065
78,79119,1029
79,574,1012
80,18375,1007
81,64,1005
82,15,996
83,367,984
84,97,972
85,221,953
86,42,950
87,124,945
88,420,936
89,113,934
90,6,923
91,62,911
92,10463,876
93,1,870
94,228,868
95,95,864
96,146,862
97,80,860
98,347,859
99,9,850
100,47,833
101,49,830
102,306,828
103,635,828
104,103,822
105,98,822
106,85,820
107,3228,817
108,177,804
109,2215,796
110,34,782
111,717,761
112,81,751
113,126,748
114,109657,745
115,11593,744
116,1152,742
117,90,739
118,289,728
119,140,724
120,39,723
121,157,723
122,266,718
123,2132,716
124,436,712
125,136,711
126,131,707
127,154,701
128,163,698
129,74,696
130,3,696
131,446,696
132,18,679
133,37,679
134,41,677
135,491,674
136,161,670
137,25,666
138,223,662
139,145,651
140,415,639
141,375,637
142,86,634
143,360,633
144,66,630
145,293,629
146,29,625
147,439,624
148,93,623
149,142,623
150,87,621
151,51,621
152,204,621
153,135,620
154,809,620
155,101,619
156,65,618
157,72,614
158,445,609
159,210,606
160,244,604
161,207,604
162,254,601
163,438,601
164,233,600
165,345,598
166,4126,597
167,218,596
168,102,596
169,468,594
170,79108,590
171,326,590
172,79115,589
173,36,588
174,46,587
175,158,587
176,319,587
177,108,586
178,262,586
179,504,585
180,183,581
181,121,581
182,32,580
183,160,577
184,380,577
185,185,575
186,419,573
187,78,573
188,305,572
189,674,572
190,276,571
191,209,568
192,16,567
193,315,566
194,141,562
195,60,562
196,321,560
197,381,560
198,187,560
199,260,559
200,418,559
201,761,558
202,206,558
203,45,557
204,356,556
205,580,554
206,428,553
207,33,553
208,129,553
209,68,553
210,215,552
211,58,551
212,1551,551
213,166,548
214,382,547
215,169,544
216,188,543
217,525,542
218,463,540
219,106,539
220,208,539
221,596,537
222,21,537
223,79417,535
224,189,533
225,197,531
226,63,531
227,35,527
228,116,525
229,181,523
230,442,522
231,234,520
232,55,519
233,144,515
234,80352,514
235,301,511
236,171,510
237,1529,509
238,269,509
239,257,508
240,229,507
241,167,507
242,191,507
243,4502,505
244,519,504
245,79152,503
246,384,502
247,407,502
248,245,502
249,104,501
250,202,495
251,117,495
252,79311,493
253,180,493
254,241,492
255,89,492
256,274,492
257,413,492
258,376,492
259,172,489
260,371,488
261,337,487
262,412,486
263,1069,486
264,340,484
265,10280,482
266,362,482
267,184,481
268,243,480
269,164,479
270,130,479
271,151,479
272,341,479
273,393,478
274,425,477
275,227,476
276,374,476
277,430,476
278,339,475
279,231,474
280,404,474
281,294,474
282,91,473
283,251,470
284,320,469
285,174,468
286,403,464
287,411,464
288,168,463
289,195,462
290,615,462
291,344,462
292,299,459
293,358,458
294,57,458
295,107,457
296,119,456
297,331,456
298,270,455
299,3334,455
300,253,455
301,414,455
302,390,455
303,212,453
304,220,452
305,267,452
306,449,451
307,280,450
308,7474,449
309,426,446
310,287,446
311,137,444
312,311,444
313,182,438
314,1036,437
315,772,434
316,283,433
317,377,433
318,230,432
319,2636,432
320,6651,428
321,334,425
322,114,420
323,219,420
324,222,417
325,250,416
326,768,415
327,259,414
328,335,414
329,285,411
330,54,409
331,308,408
332,173,405
333,541,405
334,193,405
335,284,404
336,186,404
337,471,404
338,2263,403
339,69,401
340,351,400
341,3029,400
342,3059,398
343,933,397
344,1021,396
345,123,395
346,7818,395
347,79079,390
348,73,389
349,927,389
350,59,389
351,665,385
352,138,384
353,122,382
354,11074,382
355,61,381
356,443,381
357,115,375
358,593,374
359,2348,369
360,934,368
361,915,367
362,796,366
363,73904,366
364,1101,366
365,557,365
366,332,363
367,309,362
368,588,361
369,7872,360
370,532,360
371,353,359
372,1052,359
373,314,357
374,4561,357
375,120,356
376,111,356
377,3935,355
378,2105,354
379,4573,354
380,176,353
381,416,353
382,100,352
383,17061,351
384,170,351
385,265,350
386,149,350
387,669,349
388,1127,348
389,484,347
390,627,347
391,429,347
392,310,346
393,641,345
394,3116,344
395,26326,343
396,134,343
397,1486,343
398,5315,343
399,94,342
400,200,342
401,346,341
402,127,341
403,481,341
404,383,340
405,16012,339
406,2355,339
407,1043,338
408,312,338
409,839,337
410,226,336
411,246,335
412,4557,334
413,2221,334
414,771,334
415,1793,333
416,2774,332
417,6036,331
418,147,331
419,82,331
420,198,330
421,192,329
422,507,328
423,396,328
424,205,327
425,290,327
426,268,327
427,273,326
428,455,325
429,434,323
430,139,322
431,469,321
432,500,320
433,281,319
434,1074,319
435,203,316
436,453,316
437,457,315
438,355,314
439,399,313
440,3092,312
441,333,312
442,235,311
443,612,311
444,211,311
445,448,311
446,79085,311
447,1050,311
448,1326,310
449,249,308
450,364,308
451,395,308
452,288,308
453,9831,308
454,342,307
455,277,306
456,278,306
457,460,306
458,255,305
459,464,305
460,156,305
461,132,305
462,196,305
463,148,304
464,323,304
465,461,304
466,489,303
467,423,303
468,48863,303
469,465,302
470,508,302
471,440,302
472,338,302
473,295,301
474,444,300
475,194,299
476,401,299
477,1078,299
478,239,299
479,391,297
480,109,297
481,296,296
482,1065,296
483,240,296
484,318,296
485,3620,295
486,845,295
