Rank,Node ID,Degree
1,2,30500
2,10,21953
3,8,17791
4,4,12118
5,43,11401
6,38,10945
7,23,10128
8,22,10069
9,5,9722
10,20,9679
11,99,9645
12,44,9400
13,133,9260
14,67,8917
15,70,8555
16,83,7472
17,12,7100
18,217,7017
19,56,6624
20,75,5996
21,48,5449
22,26,5261
23,150,4237
24,155,4039
25,213,3688
26,13,3628
27,24,3567
28,263,3378
29,112,3335
30,712,3019
31,92,2966
32,272,2898
33,7,2886
34,52,2799
35,53,2750
36,14,2734
37,11,2596
38,459,2581
39,96,2552
40,152,2502
41,195,2493
42,168,2480
43,19,2461
44,382,2458
45,31,2433
46,834,2379
47,30,2286
48,148,2283
49,17,2279
50,784,2218
51,88,2202
52,48771,1968
53,4195,1936
54,261,1887
55,15,1817
56,77,1764
57,42,1691
58,8036,1611
59,27,1545
60,819,1388
61,40,1386
62,519,1354
63,8911,1344
64,491,1306
65,64,1302
66,348,1301
67,1551,1269
68,13746,1262
69,436,1250
70,103,1212
71,480,1193
72,315,1168
73,81,1138
74,16,1120
75,48786,1097
76,48791,1097
77,48765,1096
78,48802,1096
79,2069,1095
80,4065,1079
81,541,1068
82,113,1057
83,60,1031
84,4500,1024
85,246,1018
86,98,1017
87,674,1000
88,143,997
89,420,993
90,367,992
91,934,991
92,39,986
93,95,982
94,177,976
95,62,973
96,1481,970
97,107,970
98,34,963
99,225,960
100,306,956
101,136,950
102,76,944
103,33,943
104,291,942
105,228,934
106,824,930
107,341,925
108,80,920
109,620,918
110,233,900
111,3704,898
112,93,890
113,45,885
114,332,876
115,131,874
116,1459,868
117,356,866
118,761,859
119,9,856
120,186,851
121,289,847
122,36,841
123,86,840
124,1,833
125,10971,832
126,207,828
127,266,828
128,635,826
129,463,826
130,172,826
131,193,818
132,3,818
133,311,812
134,1152,812
135,269,811
136,252,811
137,144,811
138,413,806
139,206,804
140,18,799
141,85,796
142,1589,796
143,41,790
144,6,788
145,2201,787
146,25,783
147,352,779
148,164,771
149,383,770
150,124,770
151,1403,761
152,58,759
153,97,756
154,371,754
155,223,754
156,503,747
157,1793,743
158,189,739
159,353,739
160,801,739
161,72,738
162,116,737
163,938,737
164,181,737
165,717,733
166,105,731
167,1832,729
168,123,726
169,226,726
170,2774,725
171,1820,723
172,1077,722
173,37,720
174,6709,716
175,126,715
176,135,714
177,134,709
178,90,708
179,1259,703
180,46,698
181,245,694
182,1101,693
183,170,691
184,254,690
185,154,690
186,185,686
187,78,684
188,425,683
189,1959,680
190,115,677
191,376,677
192,1269,673
193,1703,673
194,101,673
195,35,672
196,102,669
197,1733,668
198,337,668
199,294,665
200,50,664
201,375,662
202,319,660
203,334,660
204,404,659
205,183,656
206,345,653
207,407,653
208,220,651
209,1366,651
210,4642,650
211,65,650
212,504,650
213,299,650
214,305,649
215,8832,649
216,121,648
217,418,648
218,627,647
219,512,647
220,1226,646
221,3029,646
222,202,646
223,212,645
224,68,644
225,468,642
226,328,640
227,161,638
228,128,637
229,21,637
230,180,636
231,471,635
232,415,633
233,377,633
234,29,632
235,438,630
236,1343,630
237,208,628
238,665,627
239,339,627
240,287,626
241,117,626
242,55,625
243,429,624
244,285,623
245,160,623
246,218,622
247,242,621
248,158,620
249,243,620
250,138,619
251,259,618
252,91,618
253,796,618
254,169,617
255,320,617
256,129,616
257,771,614
258,108,614
259,430,614
260,267,612
261,360,611
262,687,610
263,262,609
264,610,609
265,119,609
266,187,608
267,229,608
268,182,606
269,331,606
270,215,606
271,279,606
272,171,604
273,234,604
274,308,603
275,3104,603
276,301,602
277,344,601
278,426,601
279,191,600
280,4441,600
281,284,599
282,241,598
283,347,597
284,51,597
285,111,597
286,949,596
287,419,596
288,794,596
289,403,595
290,2215,595
291,222,594
292,637,594
293,445,593
294,500,593
295,340,593
296,283,593
297,594,592
298,63,591
299,257,591
300,192,588
301,380,588
302,197,585
303,32,585
304,141,583
305,244,579
306,66,574
307,174,574
308,227,574
309,615,574
310,1869,574
311,321,573
312,118,573
313,221,572
314,146,572
315,87,572
316,904,571
317,167,570
318,7219,570
319,362,570
320,48826,568
321,2063,568
322,74,567
323,48834,567
324,210,566
325,2355,566
326,21011,562
327,151,562
328,381,561
329,166,561
330,176,560
331,204,560
332,374,557
333,11079,557
334,25302,556
335,251,554
336,89,553
337,130,552
338,276,551
339,390,551
340,428,551
341,14593,550
342,142,549
343,1518,547
344,357,543
345,412,542
346,961,542
347,61,541
348,231,539
349,414,539
350,411,539
351,253,539
352,1292,536
353,1693,536
354,698,536
355,274,535
356,270,533
357,358,528
358,3362,527
359,280,525
360,1487,524
361,1507,524
362,449,524
363,106,523
364,48868,523
365,3191,522
366,1796,521
367,137,518
368,73,517
369,3042,517
370,48766,516
371,326,514
372,1410,511
373,4233,510
374,322,506
375,188,504
376,439,501
377,8577,501
378,1305,500
379,410,499
380,1827,497
381,260,496
382,728,491
383,384,491
384,469,490
385,2693,490
386,433,490
387,209,490
388,310,486
389,178,486
390,531,482
391,20795,482
392,94,477
393,1237,476
394,15942,476
395,114,475
396,907,474
397,3948,473
398,747,472
399,49,471
400,7164,469
401,816,468
402,1787,467
403,2752,466
404,48783,459
405,2524,457
406,179,456
407,163,454
408,427,453
409,48797,451
410,109,451
411,11711,451
412,492,450
413,1485,450
414,474,450
415,1716,447
416,1184,447
417,54,445
418,498,445
419,19663,442
420,724,442
421,48841,442
422,309,441
423,393,440
424,11859,439
425,2198,438
426,933,438
427,10048,437
428,1019,437
429,1033,436
430,525,435
431,47,435
432,455,435
433,9753,435
434,5561,433
435,795,430
436,2241,430
437,1825,430
438,120,430
439,705,428
440,198,427
441,928,426
442,3825,424
443,286,423
444,470,422
445,4982,422
446,312,419
447,2823,419
448,4401,413
449,7394,412
450,886,412
451,4847,410
452,654,409
453,48860,407
454,1318,405
455,1372,403
456,57,403
457,4162,403
458,756,401
459,1021,400
460,1140,396
461,258,394
462,1432,394
463,351,393
464,14274,391
465,1726,391
466,1052,389
467,205,389
468,84,389
469,4058,388
470,3243,388
471,132,387
472,882,385
473,915,384
474,443,382
475,12186,380
476,481,379
477,612,378
478,122,377
479,1211,377
480,1949,377
481,1227,376
482,5739,376
483,4429,373
484,3412,373
485,646,372
486,596,372
487,846,371
488,338,370
489,2263,368
490,913,367
491,4910,367
492,342,367
493,372,365
494,314,365
495,808,364
496,996,363
497,643,363
498,5553,362
499,59,361
500,17050,360
501,13996,359
502,499,359
503,295,358
504,452,355
505,802,351
506,1166,350
507,3672,349
508,175,348
509,370,347
510,3762,347
511,3334,347
512,238,346
513,2722,345
514,6725,344
515,199,344
516,2583,344
517,8353,344
518,434,344
519,12786,344
520,1755,344
521,584,343
522,13595,343
523,10481,342
524,1684,341
525,529,340
526,3913,340
527,11867,340
528,293,338
529,2906,338
530,9261,338
531,574,337
532,24619,337
533,3116,337
534,1135,336
535,5157,336
536,333,334
537,3718,333
538,3681,333
539,389,333
540,4216,332
541,2221,332
542,10141,332
543,69,332
544,11689,331
545,649,331
546,296,331
547,153,330
548,864,328
549,378,327
550,710,327
551,10491,326
552,282,326
553,3288,326
554,1486,326
555,250,326
556,14479,325
557,508,325
558,173,325
559,406,324
560,424,323
561,871,323
562,15506,323
563,2321,323
564,230,322
565,200,322
566,273,322
567,329,322
568,12650,322
569,355,322
570,4754,321
571,235,319
572,100,319
573,4254,319
574,140,318
575,1193,318
576,641,317
577,184,316
578,5137,316
579,3241,316
580,1133,316
581,416,315
582,1173,315
583,239,315
584,48799,314
585,196,314
586,48907,314
587,2073,312
588,5286,312
589,290,312
590,11593,312
591,520,311
592,542,311
593,464,311
594,190,311
595,11616,311
596,3855,311
597,423,311
598,34739,310
599,3180,310
600,48768,309
601,1951,309
602,1115,309
603,678,308
604,489,308
605,462,307
606,394,307
607,6402,307
608,399,307
609,485,306
610,1339,305
611,8972,304
612,48876,304
613,147,304
614,720,303
615,484,303
616,1490,303
617,453,303
618,501,302
619,211,302
620,528,302
621,82,301
622,278,301
623,214,301
624,1725,301
625,2174,301
626,281,301
627,4557,300
628,4261,299
629,391,298
630,442,298
631,268,297
632,216,297
633,2667,297
634,740,296
635,1170,296
636,256,296
637,431,295
638,156,295
639,316,294
640,488,294
641,465,294
642,361,294
643,363,294
644,559,293
645,2719,293
646,387,292
647,8392,292
648,437,292
649,2348,292
650,104,292
651,1233,292
652,1834,292
653,71,291
654,1025,290
655,3172,290
656,346,290
657,165,290
658,457,289
659,460,289
660,11822,288
661,48850,288
662,2789,288
663,368,287
664,364,287
665,1346,287
666,379,287
667,10376,287
668,461,286
669,264,286
670,1286,286
671,2178,285
672,4580,285
673,1107,285
674,157,285
675,323,284
676,651,284
677,255,284
678,277,283
679,373,282
680,48772,281
681,448,281
682,466,281
683,249,281
684,349,280
685,307,280
686,4573,280
687,472,280
688,518,279
689,395,279
690,441,279
691,125,278
692,417,278
693,497,278
694,396,278
695,365,277
696,288,277
697,694,277
698,162,276
699,219,276
700,5808,276
701,265,275
702,507,275
703,201,275
704,386,275
705,303,274
706,5722,274
707,275,274
708,2269,273
709,13280,273
710,139,273
711,3590,273
712,1280,273
713,709,273
714,359,273
715,317,272
716,521,272
717,127,272
718,1036,271
719,458,271
720,385,271
721,388,271
722,398,271
723,28,271
724,304,271
725,203,271
726,444,271
727,1886,270
728,10025,270
729,401,270
730,408,270
731,549,270
732,5056,269
733,1433,269
734,237,269
735,527,269
736,292,268
737,1795,268
738,1145,268
739,421,268
740,4115,267
741,318,267
742,5066,267
743,530,267
744,2792,267
745,4365,267
746,336,266
747,149,266
748,13279,265
749,224,265
750,366,264
751,580,264
752,3372,264
753,692,263
754,327,263
755,302,263
756,298,262
757,3851,262
758,510,262
759,483,261
760,369,261
761,5330,259
762,330,258
763,247,258
764,908,258
765,3899,258
766,1356,258
767,2957,258
768,232,258
769,478,258
770,10123,258
771,240,258
772,5593,257
773,9249,257
774,159,257
775,49258,257
776,409,256
777,145,256
778,27511,256
779,502,256
780,446,256
781,672,256
782,622,256
783,1451,256
784,405,255
785,714,255
786,9399,255
787,1328,254
788,10305,254
789,1891,254
790,422,254
791,3658,254
792,49065,254
793,9236,253
794,774,253
795,335,252
796,3286,252
797,6280,251
798,3133,251
799,3114,251
800,2797,251
801,2793,250
802,1294,249
803,509,249
804,2086,249
805,3736,249
806,435,248
807,721,248
808,313,248
809,350,247
810,4087,247
811,983,246
812,931,245
813,3131,245
814,1220,245
815,194,245
816,505,244
817,2112,244
818,750,243
819,11335,243
820,3074,243
821,658,242
822,2978,242
823,48940,241
824,6210,240
825,2755,239
826,1670,239
827,4619,239
828,2449,238
829,1473,238
830,3722,238
831,325,237
832,34405,236
833,48846,236
834,4902,236
835,48880,235
836,553,235
837,6292,234
838,4921,234
839,2877,234
840,1570,234
841,1442,233
842,2288,232
843,3423,232
844,2230,231
845,12592,231
846,736,231
847,2940,230
848,7759,230
849,4121,229
850,15930,228
851,4634,228
852,1148,228
853,770,227
854,6737,226
855,2988,226
856,1642,225
857,4728,225
858,16272,224
859,738,224
860,48920,224
861,12590,223
862,6348,223
863,1284,223
864,2416,222
865,110,221
866,1612,220
867,1362,220
868,3273,220
869,3638,220
870,432,219
871,16812,219
872,2387,219
873,5203,218
874,557,218
875,4899,218
876,10216,218
877,874,218
878,6099,217
879,3480,217
880,2243,217
881,400,217
882,5285,216
883,884,215
884,2010,215
885,6541,214
886,2357,214
887,2143,213
888,1438,213
889,17234,213
890,1075,211
891,5863,211
892,1440,211
893,2004,211
894,3402,210
895,1177,210
896,354,210
897,1982,209
898,12366,209
899,343,208
900,5189,208
901,782,207
902,2835,207
903,8672,207
904,4024,206
905,2183,206
906,2663,205
907,17064,205
908,1223,204
909,1706,204
910,2194,202
911,1079,202
912,6334,202
913,9543,202
914,1246,201
915,13578,201
916,8266,201
917,4172,200
918,3761,200
919,17457,200
920,3044,199
921,1865,199
922,9693,199
923,440,199
924,7320,197
925,8840,197
926,2732,197
927,2264,197
928,4434,197
929,3324,197
930,7670,197
931,11549,197
932,927,196
933,8309,196
934,2297,196
935,5919,196
936,2479,196
937,1604,195
938,9293,195
939,2682,195
940,4147,194
941,5648,194
942,18912,194
943,5354,194
944,3426,193
945,1663,193
946,9531,193
947,3173,193
948,2277,192
949,2559,192
950,5161,192
951,13791,191
952,4753,191
953,8071,191
954,7742,191
955,397,191
956,3048,190
957,4237,190
958,10513,190
959,6333,189
960,4803,189
961,960,188
962,4163,187
963,1915,187
964,8950,187
965,3846,187
966,6174,186
967,3256,186
968,3986,186
969,916,186
970,2751,186
971,5336,186
972,493,185
973,2769,185
974,300,185
975,1127,184
976,9544,184
977,682,184
978,2283,184
979,2089,184
980,902,184
981,1418,183
982,17709,183
983,1624,183
984,6491,183
985,3012,182
986,1354,182
987,23071,182
988,959,182
989,3702,182
990,48814,181
991,617,181
992,9075,180
993,9464,180
994,1756,180
995,4813,179
996,3841,179
997,4259,179
998,948,178
999,4535,178
1000,1876,178
1001,6189,178
1002,1646,178
1003,4679,178
1004,543,177
1005,797,177
1006,9689,177
1007,941,177
1008,7141,177
1009,3301,176
1010,8838,176
1011,11769,176
1012,4460,176
1013,514,175
1014,601,174
1015,324,174
1016,1265,173
1017,4042,173
1018,19184,173
1019,1363,173
1020,1352,173
1021,14022,172
1022,49223,172
1023,3228,171
1024,1566,171
1025,6413,171
1026,2340,171
1027,789,169
1028,5053,169
1029,6080,168
1030,3588,168
1031,5001,167
1032,12904,167
1033,536,167
1034,3112,167
1035,1035,166
1036,3063,166
1037,2504,166
1038,2650,166
1039,3679,166
1040,3946,166
1041,609,166
1042,3734,165
1043,2912,165
1044,48878,165
1045,6246,165
1046,5296,165
1047,1254,165
1048,1697,164
1049,3678,163
1050,4836,163
1051,645,163
1052,3331,162
1053,3596,162
1054,526,162
1055,1331,162
1056,2589,162
1057,6604,161
1058,1565,161
1059,6205,161
1060,3205,161
1061,4540,160
1062,18234,160
1063,1359,160
1064,3427,159
1065,1711,159
1066,545,158
1067,4126,158
1068,1407,158
1069,7843,158
1070,11860,158
1071,986,158
1072,650,158
1073,1685,157
1074,946,156
1075,733,156
1076,25351,156
1077,6383,156
1078,49009,156
1079,2133,156
1080,3059,156
1081,2307,155
1082,2854,155
1083,4702,155
1084,2080,155
1085,3248,155
1086,476,154
1087,3511,154
1088,6800,154
1089,5541,154
1090,3817,153
1091,3097,153
1092,10538,153
1093,8384,152
1094,799,152
1095,1855,152
1096,3040,152
1097,924,152
1098,2812,151
1099,18055,151
1100,3990,151
1101,2281,151
1102,666,151
1103,1247,150
1104,48892,150
1105,702,149
1106,2336,149
1107,2019,149
1108,49398,149
1109,3312,148
1110,6651,148
1111,5472,148
1112,5148,148
1113,2710,148
1114,1698,147
1115,5204,147
1116,540,146
1117,2969,146
1118,6226,146
1119,858,146
1120,1313,146
1121,402,146
1122,2060,145
1123,48796,145
1124,6913,145
1125,6301,145
1126,2128,145
1127,17453,144
1128,21372,144
1129,3051,144
1130,5867,144
1131,11169,144
1132,11066,144
1133,6963,143
1134,832,143
1135,7899,143
1136,7610,143
1137,7919,143
1138,2406,143
1139,49156,143
1140,297,142
1141,7995,142
1142,4068,142
1143,1273,142
1144,48924,142
1145,6450,142
1146,22695,141
1147,14152,141
1148,10534,141
1149,7125,141
1150,1200,141
1151,2511,141
1152,48840,140
1153,985,140
1154,2929,140
1155,2704,140
1156,827,140
1157,2888,139
1158,1940,139
1159,5095,139
1160,3963,139
1161,3126,138
1162,4201,138
1163,454,138
1164,1275,138
1165,10003,137
1166,5600,137
1167,5176,137
1168,6359,137
1169,3925,137
1170,12900,137
1171,2260,137
1172,16356,137
1173,13859,136
1174,236,136
1175,3325,136
1176,5799,136
1177,28489,136
1178,5999,135
1179,9491,135
1180,1683,135
1181,16153,135
1182,7152,134
1183,9724,134
1184,6142,134
1185,2006,134
1186,6112,134
1187,17620,134
1188,4451,134
1189,3554,133
1190,3562,133
1191,1759,132
1192,909,132
1193,8238,132
1194,2182,131
1195,661,131
1196,513,131
1197,3680,131
1198,9162,131
1199,6323,130
1200,5961,130
1201,7377,130
1202,9035,130
1203,1301,130
1204,8097,130
1205,9477,130
1206,1189,129
1207,8568,129
1208,899,129
1209,5480,129
1210,1594,129
1211,48861,129
1212,3113,129
1213,3483,129
1214,1510,129
1215,1176,129
1216,1194,129
1217,772,129
1218,5052,129
1219,2280,128
1220,765,128
1221,5037,128
1222,4747,128
1223,1278,127
1224,248,127
1225,10791,127
1226,12456,127
1227,8678,127
1228,4316,127
1229,49158,127
1230,1717,127
1231,604,126
1232,10721,126
1233,2134,126
1234,1794,126
1235,2202,126
1236,1122,126
1237,5068,126
1238,939,126
1239,7516,126
1240,13140,126
1241,5271,125
1242,818,125
1243,1215,125
1244,3310,125
1245,3587,125
1246,1616,125
1247,3776,125
1248,3052,125
1249,11320,124
1250,10176,124
1251,6213,124
1252,1353,124
1253,9379,124
1254,711,123
1255,1677,123
1256,3186,123
1257,4937,123
1258,13035,122
1259,12789,122
1260,10872,122
1261,17890,122
1262,79,122
1263,855,121
1264,16931,121
1265,8810,121
1266,6056,121
1267,13016,121
1268,6352,120
1269,2456,120
1270,3983,120
1271,1896,120
1272,11267,120
1273,1849,120
1274,868,120
1275,3204,120
1276,1029,120
1277,4387,119
1278,6003,119
1279,2105,119
1280,746,119
1281,1074,119
1282,5408,118
1283,776,118
1284,1694,118
1285,511,118
1286,3321,118
1287,5482,118
1288,26145,118
1289,4150,118
1290,482,118
1291,11629,118
1292,1995,117
1293,1748,117
1294,7306,117
1295,7214,117
1296,1245,116
1297,27583,116
1298,4938,116
1299,3579,116
1300,4865,116
1301,1272,116
1302,1845,115
1303,12455,115
1304,2025,115
1305,15893,115
1306,3665,115
1307,15873,115
1308,18243,115
1309,706,115
1310,516,114
1311,5178,114
1312,5610,114
1313,9804,114
1314,561,114
1315,1969,114
1316,2775,114
1317,7114,114
1318,4019,114
1319,2015,113
1320,13460,113
1321,1618,113
1322,568,113
1323,5227,113
1324,4066,113
1325,7139,113
1326,8517,113
1327,3515,113
1328,5023,113
1329,947,113
1330,21858,113
1331,15127,112
1332,4761,112
1333,3304,112
1334,20235,112
1335,4499,112
1336,9006,112
1337,2802,112
1338,10430,111
1339,10121,111
1340,5468,111
1341,5108,111
1342,6060,111
1343,3279,110
1344,456,110
1345,447,110
1346,1506,110
1347,4850,110
1348,14134,110
1349,48856,110
1350,48874,110
1351,3316,110
1352,5689,110
1353,1512,110
1354,6141,110
1355,2848,109
1356,1533,109
1357,467,109
1358,19553,109
1359,4879,109
1360,16317,109
1361,1788,109
1362,6648,109
1363,3451,109
1364,1054,109
1365,2028,108
1366,603,108
1367,2236,107
1368,9917,107
1369,2581,107
1370,5445,107
1371,567,107
1372,1553,107
1373,4561,107
1374,9660,106
1375,1103,106
1376,2595,106
1377,1274,106
1378,13204,106
1379,659,106
1380,5506,106
1381,2395,106
1382,11720,106
1383,626,106
