Rank,Node ID,Degree
1,2,28492
2,50,20736
3,10,16313
4,8,13127
5,1625,11292
6,5,10331
7,23,9466
8,4,8376
9,43,8364
10,1627,7802
11,38,7497
12,44,7187
13,133,6796
14,20,6737
15,99,6636
16,70,6504
17,67,5916
18,83,5643
19,217,5431
20,12,4643
21,22,4188
22,26,4069
23,75,3928
24,7,3667
25,48,3597
26,56,3561
27,2151,3355
28,263,3212
29,92,3091
30,128,3012
31,272,2780
32,13,2727
33,112,2577
34,459,2555
35,150,2546
36,152,2534
37,24,2487
38,153,2480
39,317,2300
40,179,2284
41,712,2253
42,96,2248
43,88,2230
44,11,2064
45,466,2000
46,834,1977
47,30,1966
48,4570,1954
49,1669,1847
50,14,1821
51,155,1767
52,261,1678
53,58256,1605
54,19,1506
55,52,1497
56,248,1468
57,213,1467
58,31,1448
59,1039,1435
60,76,1428
61,1642,1384
62,9753,1261
63,80352,1252
64,40,1246
65,784,1228
66,17,1224
67,53,1208
68,1649,1161
69,538,1121
70,143,1118
71,27,1114
72,79115,1095
73,25,1060
74,18375,1007
75,293,989
76,348,986
77,232,938
78,221,923
79,6,914
80,64,907
81,97,904
82,146,882
83,62,882
84,124,878
85,10463,874
86,15,867
87,95,860
88,177,859
89,367,856
90,81,852
91,9,852
92,228,851
93,80,849
94,113,843
95,347,836
96,574,831
97,49,820
98,3228,817
99,85,814
100,446,811
101,42,793
102,382,790
103,266,777
104,1152,769
105,1,766
106,136,764
107,717,762
108,436,762
109,103,762
110,126,762
111,2215,753
112,6651,752
113,109657,745
114,420,736
115,839,733
116,157,733
117,34,732
118,140,732
119,39,717
120,210,709
121,98,706
122,7894,705
123,223,703
124,131,700
125,1862,697
126,154,693
127,635,692
128,163,692
129,74,691
130,491,682
131,289,677
132,161,675
133,37,664
134,18,661
135,46,660
136,306,659
137,41,659
138,1529,653
139,438,650
140,29,632
141,93,632
142,415,632
143,204,631
144,375,626
145,60,625
146,7818,624
147,142,624
148,809,621
149,145,621
150,169,621
151,66,619
152,86,619
153,51,617
154,101,615
155,36,612
156,87,611
157,6337,610
158,319,608
159,1043,608
160,468,608
161,167,605
162,65,603
163,254,601
164,345,600
165,244,600
166,218,597
167,135,594
168,445,594
169,3269,591
170,504,591
171,102,589
172,183,583
173,462,582
174,380,582
175,79108,580
176,160,580
177,326,580
178,768,579
179,360,579
180,276,576
181,90,575
182,108,575
183,4502,574
184,188,572
185,381,572
186,32,571
187,418,565
188,315,564
189,209,562
190,428,561
191,262,560
192,191,560
193,185,559
194,761,558
195,77,558
196,419,557
197,206,555
198,45,555
199,321,555
200,596,555
201,166,554
202,260,554
203,267,550
204,197,547
205,91,547
206,158,543
207,63,540
208,358,538
209,72,536
210,412,535
211,116,535
212,33,531
213,3,530
214,463,530
215,79152,527
216,35,527
217,208,523
218,144,518
219,3620,518
220,172,518
221,180,517
222,407,516
223,356,514
224,16,514
225,439,512
226,68,511
227,362,510
228,305,509
229,181,507
230,269,506
231,4126,503
232,104,503
233,301,502
234,337,501
235,442,500
236,184,499
237,106,499
238,384,497
239,245,496
240,6060,496
241,430,495
242,220,494
243,141,492
244,55,492
245,164,491
246,233,491
247,241,490
248,21,489
249,1486,488
250,207,488
251,121,487
252,274,486
253,189,485
254,195,484
255,89,484
256,28591,483
257,674,483
258,130,479
259,187,479
260,78,479
261,170,478
262,58,477
263,393,477
264,3029,477
265,259,476
266,374,475
267,341,475
268,234,473
269,371,473
270,129,471
271,404,471
272,231,470
273,257,468
274,339,468
275,171,467
276,251,465
277,429,463
278,151,462
279,3133,460
280,414,459
281,57,458
282,344,458
283,3334,456
284,340,456
285,202,455
286,117,455
287,137,455
288,168,455
289,12823,452
290,294,452
291,383,451
292,411,451
293,253,450
294,9347,449
295,320,448
296,376,448
297,332,447
298,280,447
299,390,447
300,426,446
301,525,445
302,484,444
303,212,444
304,311,444
305,222,444
306,270,443
307,403,443
308,449,441
309,519,439
310,425,438
311,230,430
312,771,430
313,119,429
314,114,427
315,186,425
316,377,424
317,541,421
318,334,421
319,440,420
320,331,418
321,47,417
322,250,415
323,219,415
324,1036,414
325,43925,414
326,927,411
327,18065,407
328,2105,405
329,1269,405
330,2263,404
